street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
799 S 13th St,7108,Newark,NJ,Essex,40.72617,-74.209311,SingleFamily,2015,162972,1910,3049,NA,1,3,12/21/16,127000,276619,neighborhood,Upper Clinton Hill
291 W Runyon St,7108,Newark,NJ,Essex,40.719593,-74.208527,MultiFamily2To4,2015,189157,1900,3484,1760,2,3,9/27/16,60000,276619,neighborhood,Upper Clinton Hill
27 Schalk St,7105,Newark,NJ,Essex,40.73275,-74.140442,SingleFamily,2015,165798,1887,2500,1278,NA,NA,8/22/16,180000,274724,neighborhood,North Ironbound
106 S 10th St,7107,Newark,NJ,Essex,40.749456,-74.195872,MultiFamily2To4,2015,112886,1902,2052,1631,2,6,4/6/17,40000,273684,neighborhood,Fairmuont
84 W Kinney St,7102,Newark,NJ,Essex,40.729812,-74.180295,Apartment,2015,66710,2016,3001,1600,2,3,8/20/16,420000,275415,neighborhood,South Broad Street
21 N 6th St,7107,Newark,NJ,Essex,40.749073,-74.192231,SingleFamily,2016,155028,1940,2500,1945,1,5,10/25/16,62000,273684,neighborhood,Fairmuont
146 S 11th St,7107,Newark,NJ,Essex,40.749416,-74.196935,SingleFamily,2016,149979,1940,1882,1926,1,5,12/16/16,90000,273684,neighborhood,Fairmuont
32 Boylan St,7106,Newark,NJ,Essex,40.744701,-74.225702,MultiFamily2To4,2015,131574,1940,2613,1745,2,5,2/1/17,180000,275833,neighborhood,Upper Vailsburg
100 Wright St,7114,Newark,NJ,Essex,40.720833,-74.183257,MultiFamily2To4,2015,270426,2002,2613,2558,4,6,8/12/16,250000,275415,neighborhood,South Broad Street
352 7th Ave W,7107,Newark,NJ,Essex,40.754129,-74.188563,MultiFamily2To4,2015,177314,1900,2509,NA,2,4,1/20/17,95000,274372,neighborhood,Lower Roseville
103 Pulaski St,7105,Newark,NJ,Essex,40.722657,-74.158975,MultiFamily5Plus,2015,191438,1916,2613,2850,1,2,12/22/16,270000,274724,neighborhood,North Ironbound
280 Littleton Ave,7103,Newark,NJ,Essex,40.73732,-74.196567,MultiFamily2To4,2015,142656,1914,2613,2628,NA,0,4/11/17,115000,275990,neighborhood,West Side
